shot_id,shot_made_flag
1,0.3692610659938578
8,0.29443632530383823
17,0.5724769558593465
20,0.7269476043723344
33,0.2705674650689023
34,0.4102956190498719
35,0.49188804505610545
36,0.42249482848890774
37,0.6551727349747649
38,0.34356593008066405
45,0.4230031073801866
50,0.27811634009300445
55,0.3741449183680645
60,0.3411069751225529
66,0.3103885005560897
67,0.2698764436002876
71,0.37508226600477435
80,0.26036843616453936
85,0.27528700767765596
86,0.644084355073013
95,0.6150677597060474
104,0.39454443321487254
113,0.3351110765749871
123,0.31866771417260376
126,0.8312119161765827
133,0.6438543511280397
141,0.29889309029592637
144,0.3570865228623641
150,0.6616859543567291
152,0.4077312468019364
153,0.6236052730561685
156,0.2893810325122499
159,0.7550613387077365
165,0.6780686548599149
172,0.42874293524682927
182,0.846483626974929
192,0.34417827453084193
193,0.6795781679684726
196,0.30217463769844755
202,0.3035111742454435
210,0.2824625356178097
211,0.36133755867607237
228,0.8736528280182432
257,0.4151930293446454
260,0.4175958904181103
264,0.40324383284705756
267,0.7151193308715933
279,0.9052200629902389
282,0.3822915289433617
293,0.33382030530066586
299,0.813848794332161
300,0.6763544008518285
301,0.7840370206100755
317,0.3711277867846915
327,0.3757571228368234
328,0.2495908023052635
335,0.5102433551463004
346,0.7581235519167608
348,0.2968720856618722
365,0.36906044008115096
390,0.6879242403056068
391,0.6185053438458843
392,0.7504163380845805
397,0.3704364712576358
418,0.3396309725537443
428,0.1588130508154797
434,0.6529202547301257
439,0.5136669088586682
440,0.42470759546746084
456,0.4220085334338585
459,0.3202974922840487
472,0.42361943529423807
480,0.31339762008879113
491,0.34668768859134563
497,0.4193944196449184
509,0.40516484278156073
511,0.477551814010885
523,0.17886429009410135
533,0.38007989311847357
544,0.38293734035042404
546,0.37752431047706025
555,0.6662907934648219
558,0.35071878067376916
560,0.2784137273297521
573,0.28079494235121816
591,0.39203563307513234
596,0.2984850234355865
597,0.3177997424602557
601,0.6390124559778516
605,0.44355267475736126
617,0.3193592326086344
628,0.30976930638423894
634,0.31770866378243867
646,0.2969560514636522
649,0.42323229380244176
651,0.6994766798742807
654,0.6175799986205472
656,0.46055087890163315
657,0.4767704136775952
669,0.3453554981259881
670,0.9080417913999885
693,0.6652329518873399
694,0.32464835650372714
699,0.45374626657518063
711,0.38210757021909547
718,0.29350062467970695
722,0.321483819004148
723,0.4309991771441212
725,0.700282742719536
734,0.2959654849621934
735,0.4644890698924763
737,0.752747300076261
746,0.2652964902020997
747,0.6340752119146444
766,0.3546723689236709
767,0.32838914573916567
771,0.2550161598554482
773,0.2654946657357725
774,0.40764931248504616
783,0.31483618147416237
784,0.41398606700928875
789,0.29678462786836607
792,0.40239461322637915
804,0.31721866467204207
809,0.33527566750343907
812,0.2484118174169882
813,0.4199966431684782
817,0.2986229486084167
820,0.24888204643327017
825,0.34071429318951374
826,0.37728355311205486
829,0.39218192662654033
855,0.41103469087319766
859,0.6101196080519375
862,0.3702625430453593
870,0.40704257605642
876,0.31614663853912833
880,0.35320579987549017
886,0.9792668874002601
889,0.8447483058906531
891,0.4255220298906161
897,0.9791168302983597
902,0.34675590451432237
903,0.32387813272180954
908,0.34307232033131313
909,0.3747194493719679
920,0.30649909556942617
922,0.4042631383213309
924,0.4808520166056031
932,0.3628942313120012
934,0.38089936007389597
937,0.4131170099410999
941,0.28039854210766646
943,0.3340988843211369
950,0.40945627545144436
952,0.30006986459388363
954,0.9146417339559012
963,0.38257387018873906
975,0.3193333292478633
979,0.4087784820171343
981,0.37752966913248887
983,0.15010192845509174
985,0.4613616827977898
989,0.42466802539488246
995,0.4004975457405274
998,0.3538879979505795
1008,0.27523671501368174
1019,0.7016654262500606
1023,0.45658277450844537
1026,0.3257315972058601
1029,0.6785360767832018
1034,0.7865115497082291
1036,0.654908318955743
1038,0.2911996855276807
1039,0.5722975018153438
1051,0.5015439634492104
1052,0.3005790018000617
1066,0.3295204206317079
1087,0.3370704925517577
1092,0.23309332608813976
1094,0.8114272762392372
1098,0.39115735722912204
1099,0.39888361182937554
1102,0.38387036937853153
1118,0.28968939728056875
1131,0.25890340170485204
1133,0.721403420371823
1135,0.9203486442449712
1138,0.5875232363750189
1139,0.7311765320887796
1142,0.4144182985799118
1151,0.37508529549362823
1152,0.3911415347115987
1155,0.7054313239980676
1165,0.3538705062304295
1167,0.9153341770082397
1172,0.3626022172996003
1174,0.7425391616465675
1180,0.4183835983037818
1200,0.3663975218693681
1202,0.3705445918007445
1227,0.6496756077065098
1228,0.6003404067442012
1229,0.3180910595135294
1237,0.4330592185277269
1241,0.3933076675029798
1256,0.25190755142254334
1279,0.40576194407180954
1293,0.22567359872413467
1295,0.3080428137493054
1319,0.7213377252201778
1320,0.3993553150312099
1321,0.7979374667562946
1322,0.6266416463506679
1334,0.2175834861073738
1351,0.7301141049572866
1373,0.2521001218658226
1375,0.28024599396121974
1380,0.35055730780202654
1382,0.7207578970392092
1385,0.4363070287734624
1399,0.3986794572623982
1403,0.9031481239119334
